var,cause,wui,vld,wild
ff,Human,362023,246982,141913
ba,Human,15844,54646,58771
cba,Human,11993,53957,77606
fsl,Human,150,161,136
cost,Human,397018130,1194336797,2196631968
des,Human,4717,2488,4025
thr,Human,76113,72681,132310
aer,Human,581,1164,2144
fat,Human,20,29,41
ff,Lightning,11706,48671,98130
ba,Lightning,1090,51277,114675
cba,Lightning,1024,80482,161131
fsl,Lightning,74,43,41
cost,Lightning,10283334,2482722702,4822018758
des,Lightning,9,815,955
thr,Lightning,2302,64752,99137
aer,Lightning,34,1315,2180
fat,Lightning,0,31,36